"","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value"
"191","D.J. Stewart","Orioles","outfield","17766",476,417,58,18,58,8,0.252,4.51,12.4
"192","Nick Ahmed","Diamondbacks","shortstop","12147",644,582,68,19,73,7,0.243,4.44,12.22
"193","Ji-Man Choi","Rays","dh","5452",518,443,65,20,66,3,0.247,4.35,11.98
"194","Brandon Belt","Giants","first_base","10264",560,474,68,18,65,4,0.253,4.32,11.9
"195","Cavan Biggio","Blue Jays","second_base","19252",602,506,75,20,68,13,0.234,4.31,11.87
"196","Brandon Nimmo","Mets","outfield","12927",609,499,77,17,61,8,0.231,4.28,11.79
"197","David Fletcher","Angels","third_base","17992",581,529,68,7,55,8,0.28,4.24,11.68
"198","Cesar Hernandez","Phillies","second_base","10556",644,563,82,13,55,10,0.266,4.19,11.53
"199","Tommy La Stella","Angels","third_base","12371",518,465,63,15,63,2,0.275,4.17,11.49
"200","Ryan Zimmerman",NA,"first_base","4220",469,422,58,22,68,1,0.256,4.17,11.49
"201","Francisco Mejia","Padres","catcher","16403",397,364,44,14,47,2,0.257,4.17,11.48
"202","Willians Astudillo","Twins","catcher","15608",253,238,31,8,34,2,0.296,4.16,11.45
"203","Jorge Alfaro","Marlins","catcher","12180",474,433,44,15,52,4,0.242,4.11,11.32
"204","JaCoby Jones","Tigers","outfield","14818",560,504,61,16,59,12,0.233,4.11,11.31
"205","Jonathan Schoop",NA,"second_base","11265",539,499,65,25,76,2,0.255,4.09,11.27
"206","Will Smith","Dodgers","catcher","19197",416,367,50,20,55,3,0.224,4.09,11.26
"207","Marwin Gonzalez","Twins","outfield","5497",462,414,57,16,59,2,0.269,4.06,11.19
"208","Carson Kelly","Diamondbacks","catcher","13620",422,365,48,15,50,1,0.249,4.04,11.11
"209","Miguel Rojas","Marlins","shortstop","7802",623,569,58,10,59,9,0.273,3.96,10.91
"210","Starlin Castro",NA,"second_base","4579",560,520,65,17,69,3,0.274,3.83,10.54
"211","Robinson Cano","Mets","second_base","3269",560,510,68,19,72,1,0.27,3.82,10.53
"212","Trent Grisham","Padres","outfield","18564",490,425,56,17,56,8,0.245,3.77,10.38
"213","Travis d'Arnaud","Braves","catcher","7739",353,191,40,15,46,0,0.256,3.76,10.34
"214","Josh Reddick","Astros","outfield","3892",441,399,55,14,56,4,0.266,3.73,10.26
"215","Alex Gordon",NA,"outfield","5209",525,463,59,15,58,5,0.254,3.69,10.15
"216","Colin Moran","Pirates","third_base","16909",525,475,56,16,64,2,0.268,3.64,10.02
"217","Niko Goodrum","Tigers","second_base","12092",602,540,66,17,68,12,0.24,3.6,9.9
"218","Nicky Lopez","Royals","shortstop","19339",581,528,60,7,55,10,0.272,3.55,9.78
"219","Luis Urias","Brewers","shortstop","16622",595,521,71,16,60,5,0.251,3.54,9.74
"220","Asdrubal Cabrera",NA,"third_base","4962",504,450,63,17,60,2,0.261,3.52,9.69
"221","Adam Jones",NA,"outfield","6368",560,436,56,16,56,3,0.259,3.48,9.59
"222","Leury Garcia","White Sox","outfield","5913",490,456,52,9,48,11,0.261,3.46,9.53
"223","Willi Castro","Tigers","shortstop","17338",553,509,57,11,57,11,0.257,3.43,9.45
"224","Alex Dickerson","Giants","outfield","12649",450,404,50,13,55,3,0.271,3.38,9.31
"225","Freddy Galvis","Reds","shortstop","6609",630,581,63,18,67,6,0.24,3.38,9.31
"226","Jurickson Profar","Athletics","second_base","10815",539,473,68,18,66,7,0.25,3.36,9.25
"227","Mike Yastrzemski","Giants","outfield","14854",546,485,57,16,60,6,0.242,3.36,9.24
"228","Wilmer Flores",NA,"first_base","5827",371,340,46,15,52,1,0.285,3.36,9.24
"229","Jose Iglesias",NA,"shortstop","10231",546,507,55,9,56,9,0.267,3.18,8.77
"230","C.J. Cron","Twins","first_base","12546",357,323,50,19,56,1,0.264,3.16,8.71
"231","Todd Frazier",NA,"third_base","785",490,427,60,22,66,3,0.235,3.14,8.65
"232","Jedd Gyorko",NA,"third_base","10816",441,390,53,19,59,4,0.25,3.02,8.32
"233","Brett Phillips","Royals","outfield","14735",574,501,61,15,58,14,0.21,3,8.27
"234","Garrett Stubbs","Astros","catcher","18067",410,365,46,8,41,9,0.232,3,8.26
"235","Tyler Naquin","Indians","outfield","13359",350,319,43,12,45,5,0.275,2.96,8.14
"236","Manny Pina","Brewers","catcher","2829",397,358,40,12,45,2,0.245,2.92,8.03
"237","Wilmer Difo","Nationals","shortstop","14320",595,536,57,9,56,13,0.247,2.91,8.01
"238","Kevan Smith","Angels","catcher","12284",326,298,36,8,37,2,0.266,2.9,7.97
"239","Jason Kipnis",NA,"second_base","9776",574,513,67,18,63,7,0.245,2.87,7.91
"240","Brian Dozier",NA,"second_base","9810",525,455,70,22,60,7,0.235,2.87,7.9
"241","Derek Fisher","Blue Jays","outfield","16192",434,378,53,17,51,10,0.229,2.84,7.82
"242","Elias Diaz","Pirates","catcher","11680",358,328,35,7,39,1,0.268,2.74,7.54
"243","J.P. Crawford","Mariners","shortstop","15491",630,545,67,14,62,8,0.233,2.72,7.5
"244","Omar Narvaez","Mariners","catcher","13338",371,325,40,11,40,1,0.252,2.71,7.47
"245","Christin Stewart","Tigers","outfield","17714",469,411,58,18,55,1,0.245,2.66,7.34
"246","Josh Rojas","Diamondbacks","outfield","19734",336,298,38,8,37,13,0.265,2.64,7.27
"247","Jordan Luplow","Indians","outfield","16424",371,324,49,15,48,6,0.25,2.63,7.24
"248","Brandon Crawford","Giants","shortstop","5343",595,532,59,15,64,4,0.247,2.62,7.22
"249","Isan Diaz","Marlins","second_base","17922",609,537,63,20,65,8,0.233,2.59,7.12
"250","Stephen Vogt","Diamondbacks","catcher","5000",308,279,35,12,39,3,0.245,2.54,6.99
"251","Hunter Pence",NA,"outfield","8252",364,332,43,13,47,5,0.263,2.54,6.99
"252","Luke Voit","Yankees","first_base","14811",434,375,56,18,56,1,0.25,2.54,6.98
"253","Manuel Margot","Padres","outfield","14712",383,346,44,10,38,13,0.251,2.49,6.86
"254","Roberto Perez","Indians","catcher","2900",410,359,48,16,49,1,0.219,2.46,6.77
"255","Jake Noll","Nationals","first_base","19703",546,509,52,12,56,5,0.254,2.45,6.76
"256","Matt Carpenter","Cardinals","first_base","8090",469,391,65,18,50,4,0.236,2.43,6.69
"257","Odubel Herrera","Phillies","outfield","11476",392,354,47,12,47,5,0.26,2.42,6.68
"258","Adam Engel","White Sox","outfield","15082",525,476,55,12,51,13,0.222,2.4,6.6
"259","Scooter Gennett",NA,"second_base","10339",518,476,59,16,63,3,0.261,2.35,6.47
"260","Josh VanMeter","Reds","outfield","15170",372,330,42,13,44,9,0.25,2.35,6.46
"261","Seth Brown","Athletics","outfield","18171",483,441,55,16,56,5,0.232,2.31,6.35
"262","Bubba Starling","Royals","outfield","13356",546,503,54,11,53,8,0.238,2.28,6.27
"263","Brian Goodwin","Angels","outfield","12858",469,420,54,14,52,8,0.23,2.2,6.07
"264","Wil Myers","Padres","outfield","10047",391,344,48,15,45,11,0.229,2.18,6
"265","Jeimer Candelario","Tigers","third_base","13621",490,426,61,16,54,3,0.243,2.15,5.91
"266","Robinson Chirinos",NA,"catcher","3142",397,340,44,15,47,2,0.218,2.15,5.91
"267","Danny Jansen","Blue Jays","catcher","16535",294,260,35,10,36,2,0.249,2.13,5.87
"268","Yan Gomes",NA,"catcher","9627",371,332,39,13,44,1,0.231,2,5.49
"269","Mike Zunino","Rays","catcher","13265",429,383,47,18,52,1,0.203,1.97,5.41
"270","Victor Caratini","Cubs","catcher","14968",262,233,30,8,31,1,0.263,1.93,5.32
"271","Raimel Tapia","Rockies","outfield","14350",319,296,36,6,35,8,0.277,1.9,5.22
"272","Tony Wolters","Rockies","catcher","11470",410,357,40,5,38,2,0.251,1.89,5.2
