"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Clint Coulter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".277",".371",".648",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657922"
"Luis Juarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".284",".362",".646",".282","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa509384"
"Nick Dini","Royals","8","30","28","7","1","0","1","3","3","1","6","0","0","0","",".242",".286",".360",".646",".281","","74","0.0","0.0","","-0.9","0.6","0.1","","999.0","sa875718"
"Anthony Recker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".283",".358",".641",".281","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","4063"
"James McCann","White Sox","39","157","143","33","6","0","4","15","16","10","43","2","1","0","",".228",".286",".355",".641",".281","","76","-0.6","1.9","","-5.0","5.1","0.5","","554.9","12859"
"Jose Lobaton","Mariners","5","18","16","3","1","0","0","2","2","2","4","0","0","0","",".218",".292",".349",".641",".281","","80","0.0","-0.1","","-0.5","0.3","0.0","","999.0","4243"
"Jesse Jenner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".284",".360",".644",".281","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857727"
"Michael Perez","Rays","35","137","125","29","6","0","3","13","13","9","31","1","1","0","",".234",".288",".355",".642",".281","","77","0.0","0.4","","-3.7","3.3","0.4","","597.3","12977"
"Brett Sullivan","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".284",".362",".645",".281","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857232"
"Josh Morgan","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".299",".339",".638",".280","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828797"
"Martin Cervenka","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".282",".361",".644",".280","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa492636"
"John Ryan Murphy","Diamondbacks","26","101","92","21","4","0","3","9","10","7","25","1","0","0","",".225",".282",".362",".644",".280","","71","0.1","-0.2","","-3.5","1.3","0.1","","999.0","10346"
"Mitch Ghelfi","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".288",".351",".639",".280","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875890"
"Joe DeCarlo","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".287",".345",".633",".279","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657935"
"Tyler Marlette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".282",".357",".639",".279","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597836"
"Tyler Heineman","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".301",".330",".631",".278","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658108"
"Sandy Leon","Red Sox","39","152","138","31","7","0","3","16","15","11","38","1","1","0","",".225",".286",".346",".632",".277","","68","-0.4","0.8","","-6.3","4.0","0.3","","599.1","5273"
"Jacob Nottingham","Brewers","2","6","5","1","0","0","0","1","1","0","2","0","0","0","",".212",".278",".356",".634",".277","","69","0.0","0.0","","-0.2","0.1","0.0","","600.9","16448"
"Dioner Navarro","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".284",".345",".629",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","3179"
"Austin Bossart","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".276",".361",".637",".277","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875667"
"Tony Sanchez","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".289",".336",".626",".277","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","6178"
"Carlos Martinez","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".291",".339",".630",".277","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737214"
"Jeremy Martinez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".293",".331",".624",".276","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738674"
"Sicnarf Loopstok","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".283",".349",".632",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737949"
"Bryan Holaday","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".284",".349",".634",".275","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","11287"
"Jack Kruger","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".290",".339",".628",".275","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918429"
"Li-Jen Chu","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".278",".353",".630",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa830277"
"Bruce Maxwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".292",".326",".618",".274","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","13866"
