"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Zach Vincej","Mariners","10","39","35","8","2","0","0","4","3","2","7","0","1","0","",".236",".289",".320",".608",".267","","66","0.0","-0.1","","-1.7","0.3","0.0","","999.0","13269"
"Gustavo Nunez","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".292",".316",".609",".267","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa446859"
"Alexei Ramirez","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".277",".342",".619",".267","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","5133"
"Oscar Mercado","Cardinals","3","13","12","3","1","0","0","1","1","1","3","0","1","0","",".232",".280",".333",".612",".266","","61","0.0","0.0","","-0.7","0.1","0.0","","999.0","sa737612"
"Michael Russell","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".279",".330",".609",".266","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827159"
"Brandon Trinkwon","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".291",".309",".600",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709596"
"David Fletcher","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".285",".325",".610",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858824"
"Chase d'Arnaud","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".286",".321",".607",".266","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","6652"
"Raul Navarro","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".285",".318",".604",".265","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa506772"
"Paul Janish","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".292",".304",".596",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","7412"
"Pedro Florimon","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".279",".325",".604",".265","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","8385"
"Mycal Jones","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".286",".311",".597",".264","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa501228"
"Chan Jong Moon","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".287",".310",".597",".264","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa550461"
"Richie Martin","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".282",".319",".601",".264","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659080"
"Charlie Culberson","Braves","57","228","212","49","10","1","3","19","20","11","51","1","3","2","",".233",".274",".336",".610",".264","","58","0.0","-1.0","","-12.2","-0.7","-0.6","","696.8","3298"
