"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jesus Sucre","Rays","33","126","117","29","5","0","3","12","13","6","25","1","2","1","",".250",".290",".375",".665",".287","","78","-0.1","0.5","","-3.6","3.3","0.4","","657.3","5942"
"Sandy Leon","Red Sox","44","165","148","35","7","0","3","18","17","13","40","1","1","1","",".234",".300",".357",".658",".286","","71","-0.4","1.5","","-6.2","5.1","0.5","","543.4","5273"
"Austin Romine","Yankees","32","119","110","27","5","0","3","13","13","7","25","1","1","1","",".242",".291",".372",".662",".286","","74","-0.1","-0.5","","-3.9","2.2","0.2","","644.2","5491"
"Chris Gimenez","Cubs","31","117","102","22","4","0","3","12","12","12","32","1","1","1","",".212",".299",".349",".648",".285","","71","-0.3","-0.3","","-4.7","2.3","0.1","","999.0","7324"
"Andrew Susac","Orioles","12","47","42","9","2","0","1","5","5","4","13","0","0","0","",".215",".290",".368",".658",".285","","73","0.0","-0.1","","-1.6","0.9","0.1","","658.8","13132"
"Juan Centeno","Rangers","26","102","93","24","4","0","1","10","10","6","19","1","1","0","",".255",".305",".349",".654",".285","","70","-0.2","-1.2","","-4.0","1.0","0.1","","999.0","7168"
"Brett Sullivan","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".284",".382",".666",".285","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857232"
"Taylor Ward","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".304",".342",".646",".285","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858832"
"Alex Jackson","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".278",".388",".667",".285","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828663"
"Jamie Ritchie","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".314",".322",".636",".285","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829058"
"Martin Maldonado","Angels","88","332","298","67","12","1","10","36","36","22","83","7","3","1","",".224",".290",".371",".661",".284","","77","-0.4","3.8","","-9.8","11.1","1.3","","402.0","6887"
"Michael Perez","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".294",".361",".655",".284","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597838"
"Eric Haase","Indians","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".206",".273",".389",".662",".284","","71","0.0","0.0","","-0.4","0.3","0.0","","999.0","sa601042"
"Christian Bethancourt","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".279",".386",".665",".284","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","10028"
"Ryan Ortiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".310",".324",".634",".284","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa501529"
"Rene Rivera","Angels","38","147","134","31","6","0","5","16","17","9","41","2","1","1","",".230",".286",".378",".664",".283","","76","-0.6","1.2","","-4.9","4.4","0.5","","634.7","3648"
"Jorge Alfaro","Phillies","64","250","231","54","10","1","8","23","28","11","78","4","1","1","",".233",".277",".386",".664",".283","","70","-0.2","-0.2","","-9.8","4.4","0.3","","246.8","12180"
"Francisco Pena","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".274",".386",".661",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","8298"
"Will Swanner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".284",".367",".651",".283","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549202"
"Austin Wynns","Orioles","3","12","11","3","0","0","0","1","1","1","2","0","0","0","",".238",".300",".344",".643",".282","","71","0.0","0.0","","-0.4","0.3","0.0","","737.0","sa707785"
"Kyle Farmer","Dodgers","11","43","39","10","2","0","1","4","4","2","8","0","0","0","",".247",".293",".359",".652",".282","","74","0.0","-0.1","","-1.5","0.6","0.0","","999.0","14813"
"Anthony Recker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".289",".359",".648",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","4063"
"Chris Stewart","Braves","8","29","26","6","1","0","0","2","3","2","5","0","0","0","",".245",".307",".339",".645",".282","","70","-0.1","-0.2","","-1.2","0.4","0.0","","999.0","3878"
