"","Name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"218","Wilmer Font","Rays","pitcher","5257",59,3.83,1.2,0,3,64,0.82,2.24,""
"219","Amir Garrett","Reds","pitcher","14375",65,3.91,1.3,1,3,72,0.81,2.24,""
"220","Silvino Bracho","Diamondbacks","pitcher","15051",55,3.86,1.24,1,3,64,0.81,2.23,""
"221","Justin Wilson",NA,"pitcher","4301",50,3.59,1.3,0,4,60,0.78,2.14,""
"222","Adalberto Mejia","Twins","pitcher","13188",113,4.71,1.4,0,7,92,0.77,2.12,""
"223","Pat Neshek","Phillies","pitcher","4682",55,4.44,1.28,6,3,50,0.75,2.08,""
"224","Trevor Williams","Pirates","pitcher","16977",145,4.72,1.44,0,8,110,0.75,2.07,""
"225","Tim Hill","Royals","pitcher","16814",55,3.81,1.36,6,3,46,0.75,2.06,""
"226","Sean Reid-Foley","Blue Jays","pitcher","17034",108,4.73,1.42,0,6,104,0.74,2.04,""
"227","Erik Swanson","Mariners","pitcher","sa829145",85,4.52,1.31,0,5,75,0.71,1.94,""
"228","Heath Hembree","Red Sox","pitcher","11632",60,4.05,1.28,2,3,63,0.68,1.88,""
"229","Alex Cobb","Orioles","pitcher","6562",181,4.9,1.42,0,9,124,0.68,1.87,""
"230","Brad Keller","Royals","pitcher","15734",153,4.58,1.45,0,8,108,0.68,1.86,""
"231","Oliver Perez",NA,"pitcher","1514",50,3.77,1.25,0,4,55,0.67,1.83,""
"232","Brett Anderson",NA,"pitcher","8223",94,4.13,1.38,0,6,65,0.64,1.75,""
"233","Jordan Zimmermann","Tigers","pitcher","4505",155,5.08,1.37,0,8,111,0.63,1.73,""
"234","Ryan Madson",NA,"pitcher","1852",50,3.68,1.23,0,4,50,0.62,1.7,""
"235","John Brebbia","Cardinals","pitcher","12777",50,3.84,1.2,1,3,54,0.6,1.65,""
"236","Tayron Guerrero","Marlins","pitcher","11691",60,3.83,1.37,2,3,66,0.58,1.59,""
"237","Ty Blach","Giants","pitcher","14361",125,4.19,1.4,0,6,79,0.56,1.55,""
"238","David Paulino","Blue Jays","pitcher","17418",50,4,1.24,2,3,54,0.56,1.53,""
"239","Kelvin Herrera",NA,"pitcher","6033",65,3.88,1.26,0,3,64,0.55,1.51,""
"240","Chaz Roe","Rays","pitcher","9866",50,3.71,1.28,2,3,52,0.53,1.46,""
"241","Pedro Baez","Dodgers","pitcher","5420",50,3.88,1.25,2,3,52,0.53,1.45,""
"242","David Phelps",NA,"pitcher","6316",50,3.8,1.28,0,4,54,0.51,1.4,""
"243","Freddy Peralta","Brewers","pitcher","18679",72,4.39,1.39,0,4,84,0.5,1.38,""
"244","Brett Kennedy","Padres","pitcher","17877",99,4.44,1.38,0,5,83,0.47,1.3,""
"245","Justin Miller","Nationals","pitcher","8580",50,4,1.26,2,3,53,0.45,1.25,""
"246","Sam Gaviglio","Blue Jays","pitcher","12778",114,4.74,1.37,0,6,88,0.45,1.24,""
"247","Justin Anderson","Angels","pitcher","16201",50,4.01,1.39,5,3,49,0.45,1.23,""
"248","Chris Devenski","Astros","pitcher","12763",50,3.83,1.2,0,3,55,0.45,1.23,""
"249","Aaron Loup",NA,"pitcher","10343",50,3.59,1.3,0,4,50,0.43,1.19,""
"250","Mike Montgomery","Cubs","pitcher","4869",69,3.89,1.35,1,4,57,0.43,1.18,""
"251","David Hernandez","Reds","pitcher","4259",60,4.26,1.29,2,3,61,0.42,1.14,""
"252","Neil Ramirez","Indians","pitcher","7677",50,4.18,1.29,2,3,58,0.41,1.13,""
"253","Adam Morgan","Phillies","pitcher","12580",55,4.01,1.26,1,3,57,0.39,1.08,""
"254","Bud Norris",NA,"pitcher","9492",60,3.89,1.3,0,3,64,0.36,1,""
"255","Felix Hernandez","Mariners","pitcher","4772",127,4.8,1.43,0,7,99,0.35,0.97,""
"256","Jaime Barria","Angels","pitcher","18356",113,4.95,1.38,0,7,85,0.35,0.95,""
"257","Trey Wingenter","Padres","pitcher","17793",50,3.61,1.33,2,2,60,0.34,0.94,""
"258","Tony Barnette",NA,"pitcher","3555",50,3.87,1.28,0,4,50,0.33,0.9,""
"259","Daniel Mengden","Athletics","pitcher","16980",134,4.87,1.39,0,7,95,0.32,0.88,""
"260","Hector Neris","Phillies","pitcher","11804",45,3.62,1.18,0,2,57,0.3,0.84,""
"261","Ivan Nova","White Sox","pitcher","1994",150,5,1.38,0,7,107,0.29,0.79,""
"262","Scott Oberg","Rockies","pitcher","13911",60,3.97,1.35,2,3,58,0.28,0.78,""
"263","Jake Diekman",NA,"pitcher","5003",50,3.54,1.32,0,3,57,0.28,0.78,""
"264","Chris Martin","Rangers","pitcher","11847",50,4.06,1.3,5,2,46,0.27,0.74,""
"265","Taijuan Walker","Diamondbacks","pitcher","11836",72,4.34,1.33,0,4,67,0.26,0.72,""
"266","Scott Alexander","Dodgers","pitcher","10591",50,3.09,1.31,0,3,47,0.25,0.7,""
"267","Jonathan Holder","Yankees","pitcher","16588",60,4.35,1.29,2,3,58,0.25,0.68,""
